,Train/Test Split ID,classifier,params,Threshold,Accuracy,Precision,Recall,F1,AUC_ROC Score
4,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",0.2,0.6317983568313217,0.28461304391926157,0.20181968569065342,0.23617043661230927,0.5012672733017922
5,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",0.3,0.5885992494167765,0.28441018358859926,0.3025137555291833,0.29318276871601845,0.501750640391211
6,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",0.5,0.5025458971498123,0.28459275788619537,0.5045132520588341,0.3639075510362896,0.5031431383275677
0,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",0.01,0.7133279237245157,0.268762677484787,0.009529974466860863,0.01840725176258118,0.4996719564209472
1,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",0.02,0.7089258545491429,0.27434077079107505,0.01945553277951595,0.0363343295611001,0.49961940703793617
2,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",0.05,0.6966122324779389,0.2866125760649087,0.05081454310065811,0.08632434248709411,0.5005637356730703
3,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",0.1,0.675017750278933,0.2853230550765798,0.10116157801992304,0.1493654754951415,0.5008089511392864
4,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",0.2,0.6302971903844203,0.2808601278020083,0.19915848527349228,0.2330562861651762,0.4994139487102384
5,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",0.3,0.5856780606552389,0.2795415356527031,0.2973352033660589,0.28816394813885404,0.4981441709157549
6,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",0.5,0.49899584136322145,0.2810427020996044,0.498219872693926,0.35936810977665945,0.49876027611781193
0,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",0.01,0.713530784055178,0.2789046653144016,0.009889596144855612,0.01910186503664085,0.49992240569007607
1,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",0.02,0.709717009838726,0.29411764705882354,0.020858057323695472,0.03895362503777831,0.5005961591875389
2,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",0.05,0.6967339486763363,0.2878296146044625,0.05103031610745496,0.0866909002046614,0.5007140052345478
3,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",0.1,0.6741048787909524,0.28075869763667716,0.09954328046894667,0.14697605267349864,0.4996819294282063
4,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",0.2,0.6315346384014606,0.283953747844609,0.20135217750926027,0.2356233561283535,0.5009416892519246
5,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",0.3,0.5877878080941272,0.28305778138418364,0.3010752688172043,0.2917886518890283,0.5007488433146954
6,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",0.5,0.49893498326402275,0.2809818440004057,0.49811198619052754,0.3592902907836372,0.49868514133707326
0,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",0.01,0.7143219393447612,0.3184584178498986,0.011292120689035135,0.021810856805473552,0.5008991578396789
1,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",0.02,0.7101227305000507,0.30425963488843816,0.021577300679684972,0.04029685348735686,0.5010970577257967
2,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",0.05,0.6967339486763363,0.2878296146044625,0.05103031610745496,0.0866909002046614,0.5007140052345478
3,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",0.1,0.6752206106095953,0.28633735672989147,0.10152119969791779,0.14989645834439547,0.5010594004084152
4,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",0.2,0.6329140886499645,0.2874023734658688,0.20379760491962456,0.2384850078905839,0.5026447442820012
5,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",0.3,0.5883558170199817,0.28400446292727455,0.3020822095155896,0.2927645336679214,0.5014501012682564
6,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",0.5,0.49907698549548635,0.28112384623186937,0.4983637213651239,0.3594718684340225,0.4988604558254635
0,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",0.01,0.7133887818237143,0.2718052738336714,0.009637860970259288,0.018615635744799085,0.4997470912016858
1,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",0.02,0.7089461405822092,0.2748478701825558,0.019491494947315426,0.03640149098357903,0.49964445196484913
2,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",0.05,0.6964499442134091,0.28498985801217036,0.05052684575826231,0.08583559886367106,0.5003633762577673
3,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",0.1,0.6739425905264226,0.2799472563140278,0.09925558312655088,0.1465512663940955,0.49948157001290316
4,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",0.2,0.6304594786489502,0.28126584846333297,0.1994461826158881,0.2333929510783798,0.4996143081255415
5,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",0.3,0.5880515265239883,0.28349731210061874,0.3015427769985975,0.2922417398578001,0.501074427364563
6,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",0.5,0.4986712648341617,0.2807181255705447,0.4976444780091344,0.3589530751472076,0.4983595572872057
0,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",0.01,0.7136119281874429,0.2829614604462475,0.010033444816053512,0.01937971034626472,0.5000225853977276
1,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",0.02,0.708844710416878,0.2723123732251521,0.019311684108318048,0.03606568387118439,0.49951922733028464
2,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",0.05,0.6956993609899584,0.2774847870182556,0.04919624554968174,0.08357515960533954,0.4994367139619903
3,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",0.1,0.6738208743280252,0.27933867532204076,0.09903981011975402,0.1462326766845431,0.4993313004514258
4,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",0.2,0.630439192615884,0.2812151333806674,0.19941022044808862,0.23335086796422935,0.49958926319862856
5,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",0.3,0.587422659498935,0.2824492003921966,0.30042794979681375,0.2911612993168827,0.5002980346302633
6,0,DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",0.5,0.49960442235520847,0.28165128309159143,0.4992987377279102,0.3601462997068817,0.49951162392519866
0,0,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.01,0.7132062075261183,0.26267748478701824,0.009314201460064012,0.017990483798145385,0.49952168685946985
1,0,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.02,0.7090069986814078,0.276369168356998,0.01959938145071385,0.03660297525101582,0.49971958674558775
2,0,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.05,0.6966933766102039,0.2874239350912779,0.05095839177185601,0.08656871429880562,0.5006639153807219
3,0,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.1,0.6761740541637082,0.29110457450045646,0.10321142158449312,0.15239207773588911,0.5022365119733211
4,0,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.2,0.6322040774926463,0.2856273455725733,0.20253892904664292,0.2370120988953182,0.50176817184005
5,0,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.3,0.5887006795821077,0.2845792338641512,0.3026935663681807,0.29335703331939217,0.5018758650257755
6,0,KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0.5,0.5013693072319708,0.2834161679683538,0.5024274463264645,0.3624030505045265,0.5016905325666201
0,0,KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",0.01,0.7130642052946546,0.25557809330628806,0.009062466285467688,0.017504254506303614,0.49934637237107965
1,0,KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",0.02,0.7083578456232884,0.2601419878296146,0.01844859208113065,0.03445380973169012,0.49891814908437526
2,0,KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",0.05,0.6953747844608986,0.2742393509127789,0.04862085086489014,0.08259767235849344,0.49903599513138414
3,0,KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",0.1,0.6744700273861446,0.2825844406126382,0.10019059948933721,0.14793182180215578,0.5001327381126384
4,0,KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",0.2,0.6315346384014606,0.283953747844609,0.20135217750926027,0.2356233561283535,0.5009416892519246
5,0,KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",0.3,0.5875038036311999,0.2825844406126382,0.30057179846801163,0.29130071099958177,0.500398214337915
6,0,KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",0.5,0.5014910234303682,0.2835378841667512,0.5026432193332614,0.36255868849057094,0.5018408021280973
0,0,KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",0.01,0.7133279237245157,0.268762677484787,0.009529974466860863,0.01840725176258118,0.4996719564209472
1,0,KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",0.02,0.709108428846739,0.2789046653144016,0.019779192289711225,0.036938782363410465,0.49984481138015224
2,0,KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",0.05,0.6960442235520844,0.28093306288032455,0.04980760240227281,0.08461373980511347,0.4998624777195095
3,0,KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",0.1,0.674328025154681,0.28187442945532,0.09993886431474089,0.147560133807678,0.4999574236242481
4,0,KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",0.2,0.6302971903844203,0.2808601278020083,0.19915848527349228,0.2330562861651762,0.4994139487102384
