classifier,params,Train/Test Split ID,Precision,Recall,Accuracy,AUC_ROC Score
LogisticRegression,"{'C': 1, 'penalty': 'l2'}",1,0.2947783849423194,0.050043807658609496,0.6849144540085925,0.5000262078664915
LogisticRegression,"{'C': 1, 'penalty': 'l2'}",2,0.2657311000452693,0.04667620865139949,0.6918915248098515,0.4976735473636745
LogisticRegression,"{'C': 10, 'penalty': 'l1'}",0,0.2831643002028398,0.050203186248067036,0.6962673699158131,0.5001379719155512
LogisticRegression,"{'C': 10, 'penalty': 'l1'}",1,0.2817243472981178,0.04782765551718807,0.6836088718859589,0.4984554477981912
LogisticRegression,"{'C': 10, 'penalty': 'l1'}",2,0.28519692168401994,0.05009541984732824,0.6938382832307135,0.5000635327084743
LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0,0.2768762677484787,0.049088359046283316,0.6956385028907597,0.4993615791812517
LogisticRegression,"{'C': 10, 'penalty': 'l2'}",1,0.286581663630844,0.048652270267484414,0.6840946698850784,0.4990399166608146
LogisticRegression,"{'C': 10, 'penalty': 'l2'}",2,0.2811226799456768,0.04937977099236642,0.6934308221658819,0.4995633032177022
LogisticRegression,"{'C': 100, 'penalty': 'l1'}",0,0.2926977687626775,0.05189340813464236,0.6972208134699259,0.5013150834804571
LogisticRegression,"{'C': 100, 'penalty': 'l1'}",1,0.29811778992106863,0.05061073029943823,0.6852484401329872,0.5004280302095453
LogisticRegression,"{'C': 100, 'penalty': 'l1'}",2,0.2906292440018108,0.05104961832061069,0.694381564650489,0.500730505362837
LogisticRegression,"{'C': 100, 'penalty': 'l2'}",0,0.2926977687626775,0.05189340813464236,0.6972208134699259,0.5013150834804571
LogisticRegression,"{'C': 100, 'penalty': 'l2'}",1,0.2908318154219793,0.04937380817399371,0.684519743134308,0.4995513269156101
LogisticRegression,"{'C': 100, 'penalty': 'l2'}",2,0.29289271163422365,0.0514472010178117,0.6946079319087287,0.5010084106354882
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 100}",0,0.28600405679513186,0.05070665659725968,0.6965513743787403,0.5004886008923316
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 100}",1,0.2956891317547055,0.05019842292429006,0.6850055411334275,0.5001357957782335
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 100}",2,0.29289271163422365,0.0514472010178117,0.6946079319087287,0.5010084106354882
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 10}",0,0.2797160243407708,0.04959182939547596,0.695922507353687,0.4997122081580321
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 10}",1,0.2923497267759563,0.04963150028346132,0.6846715550090328,0.4997339734351799
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 10}",2,0.2811226799456768,0.04937977099236642,0.6934308221658819,0.4995633032177022
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 50}",0,0.2768762677484787,0.049088359046283316,0.6956385028907597,0.4993615791812517
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 50}",1,0.2887067395264117,0.04901303922073906,0.6843072065096932,0.4992956217882124
RandomForest,"{'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 50}",2,0.3001358080579448,0.05271946564885496,0.6953323071350961,0.5018977075079718
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",0,0.2701825557809331,0.047901607508900636,0.6949690637995739,0.4985350965931264
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",1,0.2965998785670917,0.05035303818997063,0.6850966282582623,0.5002453836899754
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",2,0.28519692168401994,0.05009541984732824,0.6938382832307135,0.5000635327084743
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}",0,0.27058823529411763,0.04797353184449959,0.6950096358657064,0.498585186446952
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}",1,0.2956891317547055,0.05019842292429006,0.6850055411334275,0.5001357957782335
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}",2,0.2996831145314622,0.05263994910941476,0.695287033683448,0.5018421264534415
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",0,0.2748478701825558,0.04872873736828856,0.6954356425600974,0.4991111299121228
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",1,0.2972070431086825,0.05045611503375767,0.6851573530081523,0.5003184422978033
RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",2,0.2820280669986419,0.04953880407124682,0.6935213690691778,0.4996744653267626
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 100}",0,0.2849898580121704,0.050526845758262315,0.6964499442134091,0.5003633762577673
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 100}",1,0.27656344869459626,0.0469515023449982,0.6830927115118944,0.4978344496316538
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 100}",2,0.28655500226346764,0.05033396946564885,0.6939741035856574,0.5002302758720649
RandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 10}",0,0.2774847870182556,0.04919624554968174,0.6956993609899584,0.4994367139619903
